replication,seed,roc_auc,average_precision,pauc_fpr_0_10
108,4235281045,0.7414846268774081,0.483656720178716,0.5775071081809264
109,4126383640,0.7350491468113549,0.4705284808362945,0.5718867823013537
110,3374723186,0.7322230085712039,0.45121477694802825,0.566071938515787
111,2699657834,0.7366438625461981,0.4679275433674081,0.568509620358989
112,1245684037,0.7428921915546118,0.4600224432459087,0.5676073883694847
113,1676239794,0.7437335849650074,0.4801486790137668,0.5709762729541475
114,2133970591,0.7424266729574587,0.4809853921689666,0.5743286028234067
115,3434877182,0.7411417787213964,0.4749378319924765,0.5741630556693692
116,8047364,0.7360729731854998,0.4850758476928232,0.5827218435331074
117,2464240600,0.7394401195250452,0.48270966900325873,0.5785417778936608
118,2063194903,0.7325674294251789,0.4736190598700381,0.5777223194811753
119,1554738142,0.7338947865062515,0.46374442629680696,0.5719943879514782
120,4047293190,0.7329228591648974,0.46382120022145995,0.5720274973822856
121,2549174021,0.7442698749705119,0.47863124387232825,0.5768200874916709
122,869532214,0.7320059762522608,0.47345394764761134,0.571017659742657
123,21455072,0.7365447825745067,0.4678752691141778,0.5721847671786212
124,3078674404,0.7430321616733506,0.46566756037880563,0.5678060449543296
125,661195141,0.7349280490681764,0.4580785027762738,0.5716384615702975
126,2364879339,0.7416780687269009,0.48656075176706476,0.5800399796377
127,1792984690,0.7430809153102148,0.4794575768375485,0.5763813875334716
128,2258131364,0.7455280333411967,0.485863389412015,0.5760751252985022
129,2795681785,0.7386097350003933,0.4767356511837617,0.5778299251312996
130,3313768220,0.7368766218447748,0.4784700556104766,0.5758599139982534
131,752837601,0.7408618384839192,0.4729775377730627,0.5757357536327253
132,2347379502,0.7382118424156641,0.47117574121315003,0.5769856346457084
133,3905618462,0.748302272548557,0.49387791426966554,0.5799737607760851
134,3821267243,0.7357002437681843,0.45936328070348603,0.567855709100541
135,686322203,0.734365023197295,0.47664116786908933,0.5731614953874424
136,1306725149,0.7364598568844853,0.48006306859399617,0.5787073250476983
137,3790651310,0.7400754895022412,0.4727919668374642,0.5738567934343999
138,2529736645,0.7401714240780057,0.4804479708008884,0.5775071081809264
139,1203855554,0.7408775654635527,0.4791420973135564,0.5764558837527884
140,4228210238,0.7393882204922544,0.4732322256022221,0.5761744535909247
141,3665683214,0.7443752457340567,0.4686312676235449,0.5731532180297405
142,3628422326,0.7429283636077691,0.47348243118841776,0.57239997847887
143,822623857,0.7352992057875285,0.4787360526932903,0.5709100540925326
144,51927676,0.7388016041519226,0.4811428449764359,0.5823410850788211
145,271348866,0.7332971612801761,0.46345443566381744,0.5753218857476317
146,1315991452,0.7374538019973264,0.4626588289473268,0.5706286239306688
147,2268475451,0.74068884170795,0.48093178798487557,0.5750321782280661
148,1560967023,0.7334968939215223,0.46146880296398174,0.5731366633143368
149,1607692556,0.7452622473853896,0.47304310799079624,0.573120108598933
150,1037265541,0.7384037115671935,0.4777602519124989,0.5755784838363898
151,3843266786,0.7377982228513015,0.47465721620553936,0.5750404555857679
152,1174811832,0.734519147597704,0.477821607757466,0.5732111595336536
153,3439732319,0.7419045372336243,0.4907374081604181,0.576745591272354
154,836620191,0.7359723205158449,0.4689790248565849,0.5752473895283148
155,2351561214,0.7414421640323976,0.48338685165938644,0.5749080178625379
156,3512078119,0.7433986002988126,0.4806291052988753,0.5769194157840934
157,1820113670,0.7476448847998742,0.4975654102833128,0.579253630656022
158,2292929249,0.7436203507116459,0.4694904069435063,0.572987670875703
159,2445568322,0.7381552252889831,0.4715936177118497,0.5732856557529705
160,3421287956,0.738829912715263,0.4734988416564296,0.571936446447565
161,3736675014,0.7433152473067547,0.4857360646928609,0.5784921137474496
162,4268734572,0.73493905795392,0.4683655193412292,0.5731366633143368
163,625951401,0.7425886608476842,0.46979985009830916,0.5741878877424749
164,2866315270,0.7423936463002281,0.49114215911578896,0.5754046593246503
165,4170659451,0.7443091924195957,0.48727025665719687,0.5782189609432877
166,1276090790,0.7334009593457578,0.4626310372603958,0.568642058082219
167,506926391,0.7309632775025556,0.4682465274737927,0.5696601730795495
168,1404195737,0.7334214044192813,0.4653365375309896,0.5766545403376334
169,1819013933,0.7410961704804592,0.4801465131658481,0.5788894269171395
170,3703075591,0.7336997719587953,0.47363063874147704,0.5752556668860167
171,436822396,0.7413273570810727,0.4776145584559068,0.575098397089681
172,1137523828,0.7404340646378863,0.470361799339753,0.5746265877006742
173,1051136586,0.7414846268774081,0.4816302588952629,0.5738733481498036
174,948139739,0.7403302665723047,0.4758139217063388,0.5706286239306688
175,577505098,0.7338617598490209,0.46686792923683296,0.5733022104683743
176,2770345257,0.7439521899819139,0.48854339222459375,0.5788645948440339
177,3657051608,0.7391192891405206,0.4853852102647361,0.5783762307396233
178,906329755,0.7410191082802549,0.47603811491192205,0.5782272383009895
