library,policy,replication,best_model,best_selection_metric,p_value,winner_model,winner_selection_roc_auc,naive_empirical_p_value,model_match,score_abs_diff,p_abs_diff,decision_mismatch_alpha_0.2,decision_mismatch_alpha_0.1,decision_mismatch_alpha_0.05,decision_mismatch_alpha_0.025,decision_mismatch_alpha_0.01,decision_mismatch_alpha_0.005
high_dependency_linear_20,fixed_base,4078,logreg_l2_c10,0.4903666666666667,0.6294741051789642,logreg_l2_c10,0.4903666666666667,0.6296740651869626,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,4084,logreg_l2_c003,0.4860777777777778,0.6848630273945211,logreg_l2_c003,0.4860777777777778,0.6850629874025195,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,4113,logreg_l1_c01,0.4625666666666667,0.8958208358328335,logreg_l1_c01,0.4625666666666667,0.8960207958408318,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,4209,logreg_l1_c01,0.4913666666666667,0.619876024795041,logreg_l1_c01,0.4913666666666667,0.6200759848030394,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,4279,logreg_l1_c01,0.4936,0.5936812637472505,logreg_l1_c01,0.4936,0.5940811837632474,True,0.0,0.00039992001599686855,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,4284,logreg_l1_c01,0.4924,0.6082783443311338,logreg_l1_c01,0.4924,0.6086782643471306,True,0.0,0.00039992001599675753,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,4306,logreg_l1_c01,0.4725555555555555,0.8280343931213757,logreg_l1_c01,0.4725555555555555,0.8282343531293741,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,4396,logreg_l1_c01,0.4577222222222222,0.9230153969206158,logreg_l1_c01,0.4577222222222222,0.9232153569286142,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,4423,logreg_l1_c01,0.4802111111111111,0.7476504699060188,logreg_l1_c01,0.4802111111111111,0.7480503899220156,True,0.0,0.00039992001599675753,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,4428,logreg_l2_c10,0.4793111111111111,0.7580483903219356,logreg_l2_c10,0.4793111111111111,0.758248350329934,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,4447,logreg_l1_c01,0.4933333333333333,0.5972805438912218,logreg_l1_c01,0.4933333333333333,0.597880423915217,True,0.0,0.0005998800239952473,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,4752,elastic_net_logreg,0.4975666666666666,0.5326934613077384,elastic_net_logreg,0.4975666666666666,0.5328934213157368,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,4920,linear_svm_c1,0.4884444444444444,0.6546690661867627,linear_svm_c1,0.4884444444444444,0.6548690261947611,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,4924,logreg_l1_c01,0.4907111111111111,0.628874225154969,logreg_l1_c01,0.4907111111111111,0.6290741851629674,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,4953,linear_svm_c1,0.4684888888888889,0.8528294341131774,linear_svm_c1,0.4684888888888889,0.8530293941211757,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_full,129,logreg_l2_c30,0.5247555555555555,0.2171565686862627,logreg_l2_c100,0.5247555555555556,0.2177564487102579,False,1.1102230246251565e-16,0.0005998800239951918,False,False,False,False,False,False
high_dependency_linear_20,fixed_full,209,logreg_l2_c10,0.524711111111111,0.2173565286942611,logreg_l2_c100,0.5247111111111111,0.2179564087182563,False,1.1102230246251565e-16,0.0005998800239952196,False,False,False,False,False,False
high_dependency_linear_20,fixed_full,287,logreg_l2_c30,0.5319888888888888,0.1569686062787442,logreg_l2_c100,0.531988888888889,0.1569686062787442,False,1.1102230246251565e-16,0.0,False,False,False,False,False,False
high_dependency_linear_20,fixed_full,1423,logreg_l2_c30,0.5517,0.0501899620075984,logreg_l2_c100,0.5517000000000001,0.0501899620075984,False,1.1102230246251565e-16,0.0,False,False,False,False,False,False
high_dependency_linear_20,fixed_full,1742,logreg_l2_c10,0.5406444444444444,0.0961807638472305,logreg_l2_c100,0.5406444444444445,0.0959808038392321,False,1.1102230246251565e-16,0.00019996000799839264,False,False,False,False,False,False
high_dependency_linear_20,fixed_full,1756,logreg_l2_c30,0.5025666666666666,0.4677064587082583,logreg_l2_c100,0.5025666666666667,0.4677064587082583,False,1.1102230246251565e-16,0.0,False,False,False,False,False,False
high_dependency_linear_20,fixed_full,1759,logreg_l1_c01,0.5400666666666666,0.0899820035992801,logreg_l1_c03,0.5400666666666667,0.0975804839032193,False,1.1102230246251565e-16,0.007598480303939198,False,False,False,False,False,False
high_dependency_linear_20,fixed_full,1763,logreg_l2_c10,0.5320555555555555,0.1559688062387522,logreg_l2_c100,0.5320555555555556,0.156368726254749,False,1.1102230246251565e-16,0.00039992001599681304,False,False,False,False,False,False
high_dependency_linear_20,fixed_full,1953,logreg_l2_c30,0.5214666666666666,0.2501499700059988,logreg_l2_c100,0.5214666666666667,0.2499500099980004,False,1.1102230246251565e-16,0.00019996000799840652,False,False,False,False,False,False
high_dependency_linear_20,fixed_full,2164,logreg_l2_c30,0.5052333333333332,0.4339132173565287,logreg_l2_c100,0.5052333333333334,0.4339132173565287,False,2.220446049250313e-16,0.0,False,False,False,False,False,False
high_dependency_linear_20,fixed_full,3129,logreg_l2_c10,0.5376333333333333,0.1155768846230753,logreg_l2_c30,0.5376333333333334,0.1153769246150769,False,1.1102230246251565e-16,0.00019996000799840652,False,False,False,False,False,False
high_dependency_linear_20,fixed_full,4509,logreg_l2_c10,0.5106222222222222,0.3707258548290342,logreg_l2_c100,0.5106222222222223,0.3707258548290342,False,1.1102230246251565e-16,0.0,False,False,False,False,False,False
high_dependency_linear_20,fixed_full,4537,logreg_l2_c10,0.5223111111111111,0.2415516896620675,logreg_l2_c30,0.5223111111111112,0.2415516896620675,False,1.1102230246251565e-16,0.0,False,False,False,False,False,False
high_dependency_linear_20,fixed_full,4763,logreg_l2_c30,0.5014,0.4827034593081383,logreg_l2_c100,0.5014000000000001,0.4823035392921416,False,1.1102230246251565e-16,0.000399920015996702,False,False,False,False,False,False
